Short_name	Sample_name	Cobalt_concentration_ug_L	Cobalt_concentration_uM	Recovery	Cobalt_concentration_uM_corrected	Time	Wire_treatment	Abiotic_vs_biotic	DMSO_treatment	Metabolite_treatment	Replicate	Sample_preservation	Bottle_number	Cell_presence	Mean_cobalt_concentration_uM_corrected	Median_cobalt_concentration_uM_corrected	Stdev_cobalt_concentration_uM_corrected	Min_cobalt_concentration_uM_corrected	Max_cobalt_concentration_uM_corrected
24-12.2	2024-02-14_24hr_NoWire+10%inoc_12_F-A	116.811	1.982091757	1	1.982091757	24	No wire	Wild type	No DMSO	Nothing added	2	"Filtered, acidified"	12	Live cells	1.715242997	1.759381958	0.269020322	1.360116315	1.982091757
24-13.1	2024-02-14_24hr_Wire+10%inoc+DMSO_13_A-F	13710.255	232.6406196	0.994774	233.8627865	24	Wire included	Wild type	DMSO	Nothing added	1	"Acidified, filtered"	13	Live cells	227.5681572	235.1865209	77.24709091	125.9666121	313.9329748
24-13.2	2024-02-14_24hr_Wire+10%inoc+DMSO_13_F-A	13943.868	236.6046504	0.965511	245.0564006	24	Wire included	Wild type	DMSO	Nothing added	1	"Filtered, acidified"	13	Live cells	229.7150661	238.2922399	78.15775638	126.4274777	315.8483069
24-14.1	2024-02-14_24hr_Wire+10%inoc+DMSO_14_A-F	7408.931	125.7174501	0.998022	125.9666121	24	Wire included	Wild type	DMSO	Nothing added	2	"Acidified, filtered"	14	Live cells	227.5681572	235.1865209	77.24709091	125.9666121	313.9329748
24-14.2	2024-02-14_24hr_Wire+10%inoc+DMSO_14_F-A	7346.971	124.6660901	0.986068	126.4274777	24	Wire included	Wild type	DMSO	Nothing added	2	"Filtered, acidified"	14	Live cells	229.7150661	238.2922399	78.15775638	126.4274777	315.8483069
24-15.1	2024-02-14_24hr_NoWire+10%inoc+DMSO_15_A-F	95.244	1.616135015	1	1.616135015	24	No wire	Wild type	DMSO	Nothing added	1	"Acidified, filtered"	15	Live cells	1.545016353	1.54793067	0.063305612	1.468069057	1.616135015
24-15.2	2024-02-14_24hr_NoWire+10%inoc+DMSO_15_F-A	94.981	1.611672335	1	1.611672335	24	No wire	Wild type	DMSO	Nothing added	1	"Filtered, acidified"	15	Live cells	1.591089708	1.548583952	0.147405979	1.475484233	1.791706694
24-16.1	2024-02-14_24hr_NoWire+10%inoc+DMSO_16_A-F	86.518	1.468069057	1	1.468069057	24	No wire	Wild type	DMSO	Nothing added	2	"Acidified, filtered"	16	Live cells	1.545016353	1.54793067	0.063305612	1.468069057	1.616135015
24-16.2	2024-02-14_24hr_NoWire+10%inoc+DMSO_16_F-A	105.591	1.791706694	1	1.791706694	24	No wire	Wild type	DMSO	Nothing added	2	"Filtered, acidified"	16	Live cells	1.591089708	1.548583952	0.147405979	1.475484233	1.791706694
72-2.1	2024-02-16_72hr_Wire+Media_2_A-F	5717.977	97.02472435	1.010066	96.05780647	72	Wire included	Sterile medium	No DMSO	Nothing added	2	"Acidified, filtered"	2	No cells	152.882723	134.9661862	54.05774343	96.05780647	244.6002272
72-2.2	2024-02-16_72hr_Wire+Media_2_F-A	7044.151	119.5277297	1.008405	118.5314727	72	Wire included	Sterile medium	No DMSO	Nothing added	2	"Filtered, acidified"	2	No cells	93.01691173	80.87319701	22.10477503	79.64606547	118.5314727
72-3.1	2024-02-16_72hr_NoWire+Media_3_A-F	90.132	1.52939273	1	1.52939273	72	No wire	Sterile medium	No DMSO	Nothing added	1	"Acidified, filtered"	3	No cells	1.685576355	1.696836562	0.09287771	1.52939273	1.839285992
72-3.2	2024-02-16_72hr_NoWire+Media_3_F-A	128.537	2.181062812	1	2.181062812	72	No wire	Sterile medium	No DMSO	Nothing added	1	"Filtered, acidified"	3	No cells	1.965212475	1.954942372	0.284990387	1.709987046	2.240978111
72-4.1	2024-02-16_72hr_NoWire+Media_4_A-F	94.001	1.595043337	1	1.595043337	72	No wire	Sterile medium	No DMSO	Nothing added	2	"Acidified, filtered"	4	No cells	1.685576355	1.696836562	0.09287771	1.52939273	1.839285992
