metabolite,1.1.DD.0hr.1x.2026.05.28,1.1.DD.168hr.1x.2026.05.28,1.1.DD.24hr.1x.2026.05.28,1.1.DD.72hr.1x.2026.05.28,1.1.P.0hr.1x.2026.05.28,1.1.P.168hr.1x.2026.05.28,1.1.P.24hr.1x.2026.05.28,1.1.P.72hr.1x.2026.05.28,1.2.DD.0hr.1x.2026.05.28,1.2.DD.168hr.1x.2026.05.28,1.2.DD.24hr.1x.2026.05.28,1.2.DD.72hr.1x.2026.05.28,1.2.P.0hr.1x.2026.05.28,1.2.P.168hr.1x.2026.05.28,1.2.P.24hr.1x.2026.05.28,1.2.P.72hr.1x.2026.05.28,2.1.DD.0hr.1x.2026.05.28,2.1.DD.168hr.1x.2026.05.28,2.1.DD.24hr.1x.2026.05.28,2.1.DD.72hr.1x.2026.05.28,2.1.P.0hr.1x.2026.05.28,2.1.P.168hr.1x.2026.05.28,2.1.P.24hr.1x.2026.05.28,2.1.P.72hr.1x.2026.05.28,2.2.DD.0hr.1x.2026.05.28,2.2.DD.168hr.1x.2026.05.28,2.2.DD.24hr.1x.2026.05.28,2.2.DD.72hr.1x.2026.05.28,2.2.P.0hr.1x.2026.05.28,2.2.P.168hr.1x.2026.05.28,2.2.P.24hr.1x.2026.05.28,2.2.P.72hr.1x.2026.05.28,5.5.WT.0hr.1x.2026.05.28,5.5.WT.168hr.1x.2026.05.28,5.5.WT.24hr.1x.2026.05.28,5.5.WT.72hr.1x.2026.05.28,5.6.WT.0hr.1x.2026.05.28,5.6.WT.168hr.1x.2026.05.28,5.6.WT.24hr.1x.2026.05.28,5.6.WT.72hr.1x.2026.05.28,6.5.WT.0hr.1x.2026.05.28,6.5.WT.168hr.1x.2026.05.28,6.5.WT.24hr.1x.2026.05.28,6.5.WT.72hr.1x.2026.05.28,6.6.WT.0hr.1x.2026.05.28,6.6.WT.168hr.1x.2026.05.28,6.6.WT.24hr.1x.2026.05.28,6.6.WT.72hr.1x.2026.05.28
419.03178@12.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.5,0,0,0,0,0,207,341.4,384.8,1438,162.9,456.8,1060,320.6,0,496.8,0,293.4,0,279.2,0,0,0,0
560.50261@12.13,18470,2400,1959,4173,9108,26320,16170,8158,17710,7545,4287,15990,2640,0,21320,26160,9209,8831,3296,583,2697,898.8,1552,1273,24630,1586,1925,1512,7035,6054,760.5,679.9,855.6,7507,4502,9423,663.7,6530,3321,7542,851.5,807.1,654.2,593.2,511.9,653.8,702.6,728.6
486.11224@12.1,0,0,0,0,0,0,2618,14130,0,0,0,0,0,0,0,1495,0,0,0,0,0,887.2,1244,864.9,0,0,0,0,0,0,755.4,1167,515,0,1054,1162,0,0,0,608.3,0,0,2782,1875,0,0,0,1966
597.14558@12.14,262.3,3771,196.1,388.7,0,254.2,0,120.9,0,0,177.5,0,1127,2136,1226,1617,0,0,0,0,1047,1380,912.7,992.7,0,0,0,0,1850,924.4,1139,1306,0,1158,1034,0,1092,1437,0,881.7,1267,875.2,1293,733.6,1062,970.9,1138,859.1
758.54061@12.13,1782,0,0,140.9,0,3980,3612,2721,472,0,292.1,0,163.1,0,268,146.2,0,0,0,0,224.9,0,0,0,0,0,0,0,0,0,0,0,0,0,133.8,110.7,0,0,0,0,0,0,0,0,0,0,0,0
557.91426@12.14,0,0,412.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
561.45849@12.14,5273,0,630.8,0,1809,6964,3912,1938,7989,1137,1097,1865,707.5,979.3,1332,1412,2802,1560,0,0,671.2,0,3078,0,1970,612.6,717.9,415.2,493.2,0,500.4,607.9,0,483,1237,667.2,0,0,985.8,707.8,323.8,595.9,0,0,289.6,266.2,0,456.3
490.07319@12.17,3217,346.8,0,361.4,4388,3078,3950,4408,226.1,0,303.7,198.9,3198,3358,3535,2575,163.1,119.4,122.5,203.7,3576,1161,6265,2314,0,0,171.5,0,3388,17130,2326,3035,2855,5719,3756,2331,2277,2157,2668,2486,2882,0,3299,0,3017,0,0,0
915.1849@12.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.2,0,0,0,0,0,0,1582,166,260,218.1,0,0,0,0,303.2,364.3,286.6,238.8,333.1,329.6,248.1,0,268.1,380.7,233.9,0,308.4,227.4,305.7,223.8
768.34553@12.16,132.4,237.3,239.4,246.3,0,482.6,632.9,366.8,171.5,259.1,232.7,0,233.3,374.5,453.3,615.4,0,861.5,697.2,661.8,272.5,848,726.6,672.5,213.9,534.3,620.2,410.7,165,1091,524,393.7,0,132.3,0,0,0,0,0,0,0,201.4,0,195.2,0,0,0,0
649.12849@12.19,0,2213,435.9,266.7,0,14800,495.9,809.2,0,198,605.9,0,0,7796,4373,6817,275.9,0,0,246.7,7981,9792,6578,7364,0,0,0,0,6392,2838,0,0,9010,10430,8971,0,5924,2431,5755,3188,4881,0,3000,0,4533,3100,4228,2485
762.3691@12.18,232.3,295.1,551.3,561.6,475.2,1328,848.1,1247,0,341.9,299.6,427.6,0,981.4,1074,2927,189.5,631.9,690.5,578.1,352.6,1852,1851,2692,217.7,1798,971.4,1192,267.5,2604,2887,1776,246.5,369.4,328.8,297.9,0,569,0,0,0,0,0,0,0,0,0,0
767.34175@12.17,360.1,840.5,550.7,903.4,690.4,2530,2113,1647,593.8,1180,1133,1023,1992,1747,1979,1999,324.2,1599,1795,1575,1056,2825,2436,2527,602.9,1766,1776,1427,710.9,1524,2804,1654,167.8,232.9,212.2,233.6,0,297.2,0,255.2,246.7,337.1,240.7,338.8,232,226.7,239.1,251.2
434.07957@12.18,0,0,0,0,0,261.1,365.8,344.9,0,0,0,0,182.3,310.1,0,0,0,0,0,0,278.1,0,342.1,0,0,0,0,0,168.3,0,288.1,291,204,249.4,608,279.4,181.6,215.2,329.8,239.2,204.4,306.6,341.3,308.2,0,264.7,282.8,309.3
223.0667@12.18,0,6150,11550,0,10070,18600,38350,30920,0,1208,1589,2410,38930,19040,59660,15880,1194,0,749.8,786.8,97810,16450,19710,18700,2102,491.3,693.7,446.7,77150,52980,19590,71020,19670,20190,24710,22480,16840,16140,17550,18280,16100,14340,16240,14060,15400,0,13970,14390
207.03307@12.18,0,5524,9797,12330,13890,23020,46230,33750,3688,0,1958,2059,41030,77190,79310,17700,1467,539,584.7,750.1,80700,17480,93610,20830,1736,413.1,614,0,71400,33140,21690,89900,21370,21860,156000,24860,17830,17260,40350,19830,17800,16800,18750,15920,35550,0,15770,16530
431.08503@12.18,0,1865,4534,5298,5809,20770,42560,30920,1503,379.9,827.7,1137,5736,53590,21870,53220,842,427.8,452.4,0,9897,6855,27290,66520,640,338.7,0,317.7,29000,55750,9077,54460,36180,59390,11550,58310,6321,45180,55040,59970,30400,40580,10200,38740,6775,47580,7791,45490
491.0587@12.18,367.1,256.1,365.3,367.5,2903,2452,1817,3495,0,272.7,272.1,177.7,2871,4955,3427,4365,216.4,0,125.3,0,5974,697.2,5766,4379,0,0,0,0,10460,1678,6782,1704,6139,4133,7698,5645,4393,5652,6370,5535,4510,5643,1397,1429,3198,0,1525,1389
209.04192@12.18,2445,690.9,0,1544,1341,1521,1863,1873,459,0,482.6,508.9,1774,2607,5727,9490,544.5,0,0,0,10810,2104,11850,2490,393.1,368,0,374.4,2287,1911,2583,8583,2568,2663,3278,3052,2297,2186,2257,2351,8148,2079,3916,1848,1999,0,1908,2010
531.10718@12.18,0,0,0,0,1053,1004,1163,1618,0,0,0,0,878.2,1106,1053,490.4,0,0,0,0,1297,249.5,694.9,528.8,0,0,0,0,650.5,591.9,634.2,615.9,639.2,655,1470,521.1,548.2,1451,997.1,459.9,896.6,708.3,715.4,843.2,1137,636,681.2,773.6
429.08792@12.19,0,5506,12260,18280,28250,66140,139700,102800,5262,1555,2006,3435,43190,171700,71720,169600,2033,717.6,805,731.8,32610,189500,91320,219000,1441,601.3,628.9,821.4,22430,177900,183300,171800,114700,186100,205800,144000,20880,146900,181100,189400,23180,128000,177000,157000,22710,171600,167600,160300
432.08465@12.18,1295,652.6,1467,1841,2483,2556,3471,3528,0,169.5,261,263.6,3713,4507,2684,2591,0,146.1,188.9,0,6548,7469,10460,3201,0,0,0,0,2213,16390,8790,4956,2250,13960,17450,3155,11050,2496,2987,18720,2427,2864,14760,2429,6765,17360,11680,12130
532.10124@12.18,0,0,0,0,466.8,522.4,447.2,388.6,0,0,0,0,386.4,332.2,265.2,231.8,0,0,0,0,406,0,218.2,187.2,0,0,0,0,197,260.1,209.6,281.8,222,156.2,263.7,211.1,264.2,246.5,243.9,209.5,266.2,247,294.6,0,279.9,0,0,329.1
612.16716@12.2,2106,9726,1697,6061,0,250.9,154.6,0,1322,542,1789,473.9,27040,29860,24710,26110,650,5324,289.9,0,30180,29720,25240,17100,439.1,0,4068,0,251900,262700,102000,0,23960,22930,22520,25130,22930,27220,20500,20150,20130,19610,20160,17770,0,18760,22590,19650
433.07903@12.18,553.9,0,719.7,518.6,799.7,2905,6157,3981,245.6,0,175,0,744.2,1210,3289,1106,0,0,0,0,1278,1731,2084,7567,0,0,0,0,1706,2145,1192,1957,3596,1018,1530,6053,915.4,5446,4279,977.3,2093,4309,1338,4950,2602,5471,1135,6105
487.09402@12.19,3841,0,0,0,70730,61420,71680,81170,0,0,0,0,53770,50480,51700,36410,0,245.4,0,0,72420,15270,44830,33800,0,0,0,253.5,42160,39770,35410,41870,36900,31080,51770,37400,29880,38160,45690,33870,47740,33660,48200,45990,51860,38610,41760,48250
510.2011@12.18,0,0,0,0,824.5,568.4,700.4,617.9,0,215.5,0,212.8,448.9,437.8,305,310.1,251.8,0,281.9,179.7,940.6,167.8,423.8,384.2,0,0,289.3,0,306.7,284.8,286.3,333.9,272.7,387.5,426.2,324,0,311.6,408.6,210.9,518.9,347.7,388.2,385.7,393.2,222.5,375.9,395.5
489.06853@12.19,936.7,599.9,735.3,675.1,22710,19490,22340,24430,1887,461.8,419.7,472.9,18070,18650,16350,14680,1578,277.6,575,192.1,29250,12510,16890,13140,343,0,214.8,317.7,34250,30060,17660,46000,19060,15470,18590,17930,17580,16690,17070,14540,17480,14970,19020,17470,11800,18340,16820,20250
814.60028@12.2,0,0,0,960.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
824.21086@12.2,229.1,279.6,4164,415.1,0,0,0,0,246.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.9,0,0,133.8,0,142.5,0,0,0,0,0,146.5,0,0,0,0,0,0,0
924.42937@12.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321.3,0,2422,236.2,0,197.9,219.8,0,0,0,0,0,0,212,0,0,0,0,1255
626.20916@12.21,0,106.9,0,0,0,114.3,0,0,0,688.6,0,1046,951.8,0,212.1,124.8,1371,134.9,200.6,189.7,458.2,0,0,596.2,0,185.6,0,0,857.5,699.1,3919,599.2,1271,2377,3252,5201,2266,1412,1544,1535,1521,745.3,0,636.5,2776,828.9,1358,0
427.09426@12.2,0,0,0,0,624.2,563,844.5,1057,0,0,0,0,322.8,295.8,361.4,340.3,0,0,0,0,240.3,0,282.6,243.2,0,0,0,0,301.6,238.4,210.1,0,485.1,256,816.3,356.9,179.2,347.5,600,552.5,464.4,316.4,400.6,0,771.2,0,384.8,0
702.21373@12.22,0,2924,0,0,509.3,0,536.4,0,4903,2251,0,19030,0,59070,0,67810,752.8,388,1077,0,50880,61300,41510,66510,0,228.5,258,0,34550,14070,57610,31740,55800,30220,0,62250,68750,19970,54420,112000,71820,39970,42660,33190,53370,35580,0,0
822.46656@12.2,0,0,0,104,0,0,0,0,0,1183,1533,1293,0,0,0,0,1089,1262,1116,1539,0,0,0,0,145.7,0,232.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
763.5364@12.22,286.5,155.6,224.5,0,494.1,2846,1762,1428,248.5,0,388.5,0,0,0,0,0,133.3,0,0,101,169.7,0,114.2,105.3,212.4,0,0,0,0,0,129.2,0,231.8,174.5,169.1,191.9,217,0,0,0,0,0,0,0,0,0,0,0
