Short_name	Sample_name	Cobalt_concentration_ug_L	Cobalt_concentration_uM	Time	Wire_treatment	Abiotic_vs_biotic	DMSO_treatment	Metabolite_treatment	Replicate	Sample_preservation	Bottle_number	Recovery
24-12.1	2024-02-14_24hr_NoWire+10%inoc_12_A-F	82.841	1.405676376	24	No wire	Wild type	No DMSO	Nothing added	2	"Acidified, filtered"	12	
24-12.2	2024-02-14_24hr_NoWire+10%inoc_12_F-A	116.811	1.982091757	24	No wire	Wild type	No DMSO	Nothing added	2	"Filtered, acidified"	12	
24-13.1	2024-02-14_24hr_Wire+10%inoc+DMSO_13_A-F	13710.255	232.6406196	24	Wire included	Wild type	DMSO	Nothing added	1	"Acidified, filtered"	13	
24-13.2	2024-02-14_24hr_Wire+10%inoc+DMSO_13_F-A	13943.868	236.6046504	24	Wire included	Wild type	DMSO	Nothing added	1	"Filtered, acidified"	13	
24-14.1	2024-02-14_24hr_Wire+10%inoc+DMSO_14_A-F	7408.931	125.7174501	24	Wire included	Wild type	DMSO	Nothing added	2	"Acidified, filtered"	14	
24-14.2	2024-02-14_24hr_Wire+10%inoc+DMSO_14_F-A	7346.971	124.6660901	24	Wire included	Wild type	DMSO	Nothing added	2	"Filtered, acidified"	14	
24-15.1	2024-02-14_24hr_NoWire+10%inoc+DMSO_15_A-F	95.244	1.616135015	24	No wire	Wild type	DMSO	Nothing added	1	"Acidified, filtered"	15	
24-15.2	2024-02-14_24hr_NoWire+10%inoc+DMSO_15_F-A	94.981	1.611672335	24	No wire	Wild type	DMSO	Nothing added	1	"Filtered, acidified"	15	
24-16.1	2024-02-14_24hr_NoWire+10%inoc+DMSO_16_A-F	86.518	1.468069057	24	No wire	Wild type	DMSO	Nothing added	2	"Acidified, filtered"	16	
24-16.2	2024-02-14_24hr_NoWire+10%inoc+DMSO_16_F-A	105.591	1.791706694	24	No wire	Wild type	DMSO	Nothing added	2	"Filtered, acidified"	16	
72-1.1	2024-02-16_72hr_Wire+Media_1_A-F	13841.352	234.8651214	72	Wire included	Sterile medium	No DMSO	Nothing added	1	"Acidified, filtered"	1	0.9901
72-1.2	2024-02-16_72hr_Wire+Media_1_F-A	6229.217	105.6996316	72	Wire included	Sterile medium	No DMSO	Nothing added	1	"Filtered, acidified"	1	0.9901
72-2.1	2024-02-16_72hr_Wire+Media_2_A-F	5717.977	97.02472435	72	Wire included	Sterile medium	No DMSO	Nothing added	2	"Acidified, filtered"	2	0.9901
72-2.2	2024-02-16_72hr_Wire+Media_2_F-A	7044.151	119.5277297	72	Wire included	Sterile medium	No DMSO	Nothing added	2	"Filtered, acidified"	2	0.9901
72-3.1	2024-02-16_72hr_NoWire+Media_3_A-F	90.132	1.52939273	72	No wire	Sterile medium	No DMSO	Nothing added	1	"Acidified, filtered"	3	
72-3.2	2024-02-16_72hr_NoWire+Media_3_F-A	128.537	2.181062812	72	No wire	Sterile medium	No DMSO	Nothing added	1	"Filtered, acidified"	3	
72-4.1	2024-02-16_72hr_NoWire+Media_4_A-F	94.001	1.595043337	72	No wire	Sterile medium	No DMSO	Nothing added	2	"Acidified, filtered"	4	
72-4.2	2024-02-16_72hr_NoWire+Media_4_F-A	132.068	2.240978111	72	No wire	Sterile medium	No DMSO	Nothing added	2	"Filtered, acidified"	4	
72-5.1	2024-02-16_72hr_Wire+Media+DMSO_5_A-F	5563.407	94.40192408	72	Wire included	Sterile medium	DMSO	Nothing added	1	"Acidified, filtered"	5	
72-5.2	2024-02-16_72hr_Wire+Media+DMSO_5_F-A	2130.64	36.15347853	72	Wire included	Sterile medium	DMSO	Nothing added	1	"Filtered, acidified"	5	
72-6.1	2024-02-16_72hr_Wire+Media+DMSO_6_A-F	7691.113	130.5056174	72	Wire included	Sterile medium	DMSO	Nothing added	2	"Acidified, filtered"	6	
72-6.2	2024-02-16_72hr_Wire+Media+DMSO_6_F-A	1652.662	28.04297306	72	Wire included	Sterile medium	DMSO	Nothing added	2	"Filtered, acidified"	6	
72-7.1	2024-02-16_72hr_NoWire+Media+DMSO_7_A-F	100.564	1.70640672	72	No wire	Sterile medium	DMSO	Nothing added	1	"Acidified, filtered"	7	
72-7.2	2024-02-16_72hr_NoWire+Media+DMSO_7_F-A	106.614	1.809065332	72	No wire	Sterile medium	DMSO	Nothing added	1	"Filtered, acidified"	7	
72-8.1	2024-02-16_72hr_NoWire+Media+DMSO_8_A-F	104.301	1.769817503	72	No wire	Sterile medium	DMSO	Nothing added	2	"Acidified, filtered"	8	
72-8.2	2024-02-16_72hr_NoWire+Media+DMSO_8_F-A	116.627	1.978969577	72	No wire	Sterile medium	DMSO	Nothing added	2	"Filtered, acidified"	8	
72-9.1	2024-02-16_72hr_Wire+10%inoc_9_A-F	71548.862	1214.06725	72	Wire included	Wild type	No DMSO	Nothing added	1	"Acidified, filtered"	9	0.9405
